sep=;
type;sourcename;sourceversion;device;unit;creationdate;startdate;enddate;value
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 08:39:25 +0300;2023-04-28 09:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 09:39:25 +0300;2023-04-28 10:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 10:39:25 +0300;2023-04-28 11:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 11:39:25 +0300;2023-04-28 12:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 12:39:25 +0300;2023-04-28 13:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 13:39:25 +0300;2023-04-28 14:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 14:39:25 +0300;2023-04-28 15:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 15:39:25 +0300;2023-04-28 16:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 16:39:25 +0300;2023-04-28 17:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 17:39:25 +0300;2023-04-28 17:57:04 +0300;21.748
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 18:13:17 +0300;2023-04-28 17:57:04 +0300;2023-04-28 17:57:15 +0300;0.21
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 20:28:57 +0300;2023-04-28 17:57:15 +0300;2023-04-28 18:57:15 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 20:28:57 +0300;2023-04-28 18:57:15 +0300;2023-04-28 19:57:15 +0300;73.911
